Plant               Moisture        Light         Temperature
Olive               750–900         100–300       15–30
Fig                 500–750         100–300       18–30
Pomegranate         500–750         100–300       18–32
Grapevine           500–750         100–300       15–30
Lavender            900–1024        300–500       18–29
Rosemary            750–900         300–500       15–25
Bay                 500–750         500–700       10–25
Pine                500–750         100–300       10–28
Jasmine             250–500         700–1024      16–24
Cyclamen            250–500         700–1024      10–18
Tulip               500–750         100–300       12–18
Hyacinth            500–750         100–300       10–20
